filename,origin,process,rating,roaster,tags,taste notes,varietals
El Paraiso Peach.md,Colombia,Two Stage Fermentation Thermal Shock,4,Hydrangea Coffee Roasters,#coffees/filter,"Peach Gokuri, Rhubarb, Sakura",Pink Bourbon
Affogato.md,Rwanda,Washed,4,DAK Coffee Roasters,#coffees/filter,"Red Grapes, Red Plum, Almond Milk, Cookies",Bourbon
Jose Luis Mejorado.md,Ecuador,Washed,3,Hydrangea Coffee Roasters,#coffees/filter,"Plum, Blood Orange, Tonic Water",Typical Mejorado
Hamasho.md,Ethiopia,Anaerobic Honey,3,Acid Coffee Roasters,#coffees/filter,"Yellow Peach, Nectar, Jasmine Candy",Hamasho
El Paraiso Lychee.md,Colombia,Double Anaerobic Thermal Shock,3,Hydrangea Coffee Roasters,#coffees/filter,"Osmanthus, Lychee, Kasugai Gummies",Castillo
Blueberry Swirl.md,Burundi,Natural Anaerobic,4,DAK Coffee Roasters,#coffees/filter,"Blueberry, Vanilla, Passionfruit",Red Bourbon
Discovery Ipanema.md,Brazil,Dried-on-Tree Natural,2,Colonna,#coffees/espresso,,Yellow Bourbon
Planadas.md,Colombia,Washed,2,Solberg & Hansen,#coffees/espresso,"Cherry, Chocolate","Caturra, Castillo"
Sirinya.md,Thailand,Natural,4,Rise Coffee,#coffees/espresso,"Strawberry, Pineapple, Ripe Mango, Candy",
Tade.md,Ethiopia,Washed,1,Solberg & Hansen,#coffees/espresso,"Citrus, Dried Fruits, Florals",Welicho
Ethiopia Uraga Gogou.md,Ethiopia,Washed,3,Onyx,"#coffees/filter, #coffees/espresso","Apricot, Wildflower Honey, Nutmeg, Chamomile Tea",Landrace
Bekele Belaychow.md,Ethiopia,Experimental Yeast Washed,4,Hydrangea Coffee Roasters,#coffees/filter,"Raspberry, Florals, Sauvignon Blanc",Landrace
Berry Foam.md,Honduras,Natural,2,DAK Coffee Roasters,#coffees/filter,"Red Berries, Plum, Pineapple, Chocolate",Catuai
Barbadine.md,Colombia,Washed Thermal Shock,4,DAK Coffee Roasters,#coffees/filter,"Jasmine, Granadilla, Raspberry",Bourbon Aji
DAK Coffee Roasters.md,,,,,,,
Rise Coffee.md,,,,,,,
Uncle Ben.md,,,,,,,
Tanat.md,,,,,,,
Hydrangea Coffee Roasters.md,,,,,,,
Solberg & Hansen.md,,,,,,,
Verve Coffee Roasters.md,,,,,,,
April Coffee Roasters.md,,,,,,,
Freidhats.md,,,,,,,
ONA Coffee.md,,,,,,,
Tim Wendelboe.md,,,,,,,
Colonna.md,,,,,,,
September.md,,,,,,,
Onyx.md,,,,,,,
Acid Coffee Roasters.md,,,,,,,
